\fixlen=T
| object            | ra            | dec            | major | cntr            |
|char               |double         |double          |double |int              |
  55Cnce              133.154166667   28.3338888889    10.0     1                
  CoRoT-1b            102.079166667   -3.10222222222   10.0     2                
  CoRoT-10b           291.0625        0.746111111111   10.0     3                
  CoRoT-11b           280.6875        5.93777777778    10.0     4                
  CoRoT-12b           100.766666667   -1.29638888889   10.0     5                
  CoRoT-13b           102.720833333   -5.08638888889   10.0     6                
  CoRoT-14b           103.425         -5.53611111111   10.0     7                
  CoRoT-16b           278.525         -6.0025          10.0     8                
  CoRoT-17b           278.695833333   -6.61222222222   10.0     9                
  CoRoT-2b            291.779166667   1.38388888889    10.0     10               
  CoRoT-3b            292.054166667   0.121944444444   10.0     11               
  CoRoT-4b            102.195833333   0.672777777778   10.0     12               
  CoRoT-5b            101.279166667   0.815277777778   10.0     13               
  CoRoT-6b            281.075         6.66333333333    10.0     14               
  CoRoT-7b            100.954166667   -1.06277777778   10.0     15               
  CoRoT-8b            291.5875        1.42666666667    10.0     16               
  CoRoT-9b            280.7875        6.20416666667    10.0     17               
  GJ1214b             258.829166667   4.96388888889    10.0     18               
  GJ436b              175.545833333   26.7063888889    10.0     19               
  HAT-P-1b            344.445833333   38.675           10.0     20               
  HAT-P-11b           297.708333333   48.0808333333    10.0     21               
  HAT-P-12b           209.391666667   43.4936111111    10.0     22               
  HAT-P-13b           129.883333333   47.3519444444    10.0     23               
  HAT-P-14b           260.116666667   38.2422222222    10.0     24               
  HAT-P-15b           66.25           39.4605555556    10.0     25               
  HAT-P-16b           9.575           42.4630555556    10.0     26               
  HAT-P-17b           324.5375        30.4886111111    10.0     27               
  HAT-P-18b           256.35          33.0125          10.0     28               
  HAT-P-19b           9.51666666667   34.7116666667    10.0     29               
  HAT-P-2b            245.15          41.0480555556    10.0     30               
  HAT-P-20b           111.916666667   24.3363888889    10.0     31               
  HAT-P-21b           171.275         41.0280555556    10.0     32               
  HAT-P-22b           155.683333333   50.1283333333    10.0     33               
  HAT-P-23b           306.125         16.7622222222    10.0     34               
  HAT-P-24b           108.825         14.2622222222    10.0     35               
  HAT-P-25b           48.4375         25.1975          10.0     36               
  HAT-P-27_WASP-40b   222.766666667   5.94722222222    10.0     37               
  HAT-P-28b           13.0            34.7283333333    10.0     38               
  HAT-P-29b           33.1291666667   51.7788888889    10.0     39               
  HAT-P-3b            206.095833333   48.0286111111    10.0     40               
  HAT-P-30_WASP-51b   123.95          5.83666666667    10.0     41               
  HAT-P-31b           271.5375        26.4266666667    10.0     42               
  HAT-P-32b           30.2916666667   46.6877777778    10.0     43               
  HAT-P-33b           113.183333333   33.835           10.0     44               
  HAT-P-34b           303.195833333   18.105           10.0     45               
  HAT-P-35b           123.25          4.78694444444    10.0     46               
  HAT-P-36b           188.2625        44.9152777778    10.0     47               
  HAT-P-37b           284.295833333   51.2691666667    10.0     48               
  HAT-P-4b            229.991666667   36.2297222222    10.0     49               
  HAT-P-5b            274.404166667   36.6216666667    10.0     50               
  HAT-P-6b            354.775         42.4661111111    10.0     51               
  HAT-P-7b            292.245833333   47.9694444444    10.0     52               
  HAT-P-8b            343.041666667   35.4472222222    10.0     53               
  HAT-P-9b            110.166666667   37.1405555556    10.0     54               
  HATS-1b             175.525         -23.3547222222   10.0     55               
  HD149026b           247.620833333   38.3472222222    10.0     56               
  HD17156b            42.4333333333   71.7533333333    10.0     57               
  HD189733b           300.179166667   22.7108333333    10.0     58               
  HD209458b           330.791666667   18.8844444444    10.0     59               
  HD80606b            140.654166667   50.6036111111    10.0     60               
  HD97658b            168.6375        25.7102777778    10.0     61               
  KELT-2Ab            92.6625         30.9572222222    10.0     62               
  KIC10905746b        283.629166667   48.3911111111    10.0     63               
  KIC6185331b         284.275         41.535           10.0     64               
  KOI-13b             286.970833333   46.8683333333    10.0     65               
  KOI-135b            285.241666667   46.6683333333    10.0     66               
  KOI-196b            294.5125        45.9816666667    10.0     67               
  KOI-200b            293.091666667   41.3555555556    10.0     68               
  KOI-202b            286.108333333   43.6811111111    10.0     69               
  KOI-204b            300.104166667   45.7622222222    10.0     70               
  KOI-206b            297.591666667   40.9772222222    10.0     71               
  KOI-254b            292.875         41.0641666667    10.0     72               
  KOI-423b            296.958333333   46.0344444444    10.0     73               
  KOI-428b            296.8125        47.5266666667    10.0     74               
  KOI-680b            292.2875        43.1972222222    10.0     75               
  KOI-730b            298.316666667   47.2794444444    10.0     76               
  KOI-730c            298.316666667   47.2794444444    10.0     77               
  KOI-730d            298.316666667   47.2794444444    10.0     78               
  KOI-730e            298.316666667   47.2794444444    10.0     79               
  KOI-872b            289.270833333   42.6041666667    10.0     80               
  Kepler-10b          285.679166667   50.2413888889    10.0     81               
  Kepler-10c          285.679166667   50.2413888889    10.0     82               
  Kepler-11b          297.116666667   41.9091666667    10.0     83               
  Kepler-11c          297.116666667   41.9091666667    10.0     84               
  Kepler-11d          297.116666667   41.9091666667    10.0     85               
  Kepler-11e          297.116666667   41.9091666667    10.0     86               
  Kepler-11f          297.116666667   41.9091666667    10.0     87               
  Kepler-11g          297.116666667   41.9091666667    10.0     88               
  Kepler-14b          287.708333333   47.3330555556    10.0     89               
  Kepler-16(AB)b      289.075         51.7575          10.0     90               
  Kepler-17b          298.395833333   47.815           10.0     91               
  Kepler-18b          298.079166667   44.7463888889    10.0     92               
  Kepler-18c          298.079166667   44.7463888889    10.0     93               
  Kepler-18d          298.079166667   44.7463888889    10.0     94               
  Kepler-19b          290.420833333   37.8516666667    10.0     95               
  Kepler-20b          287.7           42.3386111111    10.0     96               
  Kepler-20c          287.7           42.3386111111    10.0     97               
  Kepler-20d          287.7           42.3386111111    10.0     98               
  Kepler-20e          287.7           42.3386111111    10.0     99               
  Kepler-20f          287.7           42.3386111111    10.0     100              
  Kepler-21b          287.3625        38.7138888889    10.0     101              
  Kepler-22b          289.216666667   47.8844444444    10.0     102              
  Kepler-23b          294.216666667   49.4791666667    10.0     103              
  Kepler-23c          294.216666667   49.4791666667    10.0     104              
  Kepler-24b          290.4125        38.3438888889    10.0     105              
  Kepler-24c          290.4125        38.3438888889    10.0     106              
  Kepler-25b          286.6375        39.4877777778    10.0     107              
  Kepler-25c          286.6375        39.4877777778    10.0     108              
  Kepler-26b          284.941666667   46.5666666667    10.0     109              
  Kepler-26c          284.941666667   46.5666666667    10.0     110              
  Kepler-27b          292.2375        41.0858333333    10.0     111              
  Kepler-27c          292.2375        41.0858333333    10.0     112              
  Kepler-28b          292.1375        42.4294444444    10.0     113              
  Kepler-28c          292.1375        42.4294444444    10.0     114              
  Kepler-29b          298.35          47.4911111111    10.0     115              
  Kepler-29c          298.35          47.4911111111    10.0     116              
  Kepler-30b          285.283333333   38.9472222222    10.0     117              
  Kepler-30c          285.283333333   38.9472222222    10.0     118              
  Kepler-30d          285.283333333   38.9472222222    10.0     119              
  Kepler-31b          294.025         45.8530555556    10.0     120              
  Kepler-31c          294.025         45.8530555556    10.0     121              
  Kepler-32b          297.841666667   46.5741666667    10.0     122              
  Kepler-32c          297.841666667   46.5741666667    10.0     123              
  Kepler-33b          289.079166667   46.0052777778    10.0     124              
  Kepler-33c          289.079166667   46.0052777778    10.0     125              
  Kepler-33d          289.079166667   46.0052777778    10.0     126              
  Kepler-33e          289.079166667   46.0052777778    10.0     127              
  Kepler-33f          289.079166667   46.0052777778    10.0     128              
  Kepler-34(AB)b      296.4375        44.6416666667    10.0     129              
  Kepler-35(AB)b      294.495833333   46.69            10.0     130              
  Kepler-4b           285.616666667   50.1358333333    10.0     131              
  Kepler-42b          292.220833333   44.6194444444    10.0     132              
  Kepler-42c          292.220833333   44.6194444444    10.0     133              
  Kepler-42d          292.220833333   44.6194444444    10.0     134              
  Kepler-5b           299.408333333   44.035           10.0     135              
