# name, mass, radius, period, axis, eccentricity, inclination, angular_distance, publication_status_letter, discovered, updated, omega, tperi, detection_type, molecules, star.name, ra, dec, star.magnitude_v, star.magnitude_i, star.magnitude_j, star.magnitude_h, star.magnitude_k, star.distance, star.metallicity, star.mass, star.radius, star.spec_type, star.age, star.teff
55 Cnc e,0.027,0.194,0.7365449,0.0156,0.06,81.0,0.001264,R,2004,2012-05-11,170.0,2449999.83643,detected by transit,,55 Cnc,08:52:37.0,+28:20:02,5.95,,,,,12.34,0.31,0.905,0.943,K0IV-V,10.2,5196.0
CoRoT-1 b,1.03,1.49,1.5089557,0.0254,0.0,85.1,5.5e-05,C,2007,2012-04-05,,,detected by transit,,CoRoT-1,06:48:19.0,-03:06:08,13.6,,,,,460.0,0.06,0.95,1.11,G0V,,6298.0
CoRoT-10 b,2.75,0.97,13.2406,0.1055,0.53,88.55,0.000306,S,2010,2010-06-14,218.9,54990.85,detected by transit,,CoRoT-10,19:24:15.0,+00:44:46,15.22,,,,,345.0,0.26,0.89,0.79,K1V,3.0,5075.0
CoRoT-11 b,2.49,1.39,2.994325,0.04351,0.0,81.41,7.8e-05,S,2010,2012-07-02,,,detected by transit,,CoRoT-11,18:42:45.0,+05:56:16,12.94,,,,,560.0,-0.03,1.27,1.37,F6V,2.0,6440.0
CoRoT-12 b,0.917,1.44,2.828042,0.04016,0.07,85.48,3.5e-05,S,2010,2010-06-14,105.0,,detected by transit,,CoRoT-12,06:43:04.0,-01:17:47,15.52,,,,,1150.0,0.16,1.078,1.116,G2V,6.3,5675.0
CoRoT-13 b,1.308,0.885,4.03519,0.051,0.0,88.02,3.9e-05,S,2010,2010-07-12,,,detected by transit,,CoRoT-13,06:50:53.0,-05:05:11,15.04,,,,,1310.0,0.01,1.09,1.01,G0V,1.64,5945.0
CoRoT-14 b,7.6,1.09,1.51214,0.027,0.0,79.6,2e-05,S,2010,2010-12-22,,2454787.6702,detected by transit,,CoRoT-14,06:53:42.0,-05:32:10,16.03,,,,,1340.0,0.05,1.13,1.21,F9V,0.6,6035.0
CoRoT-16 b,0.535,1.17,5.35227,0.0618,0.33,85.01,7.4e-05,C,2010,2011-06-14,168.41,,detected by transit,,CoRoT-16,18:34:06.0,-06:00:09,15.64,,,,,840.0,0.19,1.098,1.19,G5V,6.73,5650.0
CoRoT-17 b,2.45,1.02,3.768125,0.0461,0.0,88.34,5e-05,C,2010,2011-05-11,,,detected by transit,,CoRoT-17,18:34:47.0,-06:36:44,15.46,,,,,920.0,0.0,1.04,1.59,G2V,10.7,5740.0
CoRoT-18 b,3.47,1.31,1.9000693,0.0295,0.08,86.5,3.4e-05,S,2011,2012-04-05,,,detected by transit,,CoRoT-18,00:00:00.0,+00:00:00,14.99,,,,,870.0,-0.1,0.95,1.0,G9V,,5440.0
